Организация;Год;Все отрасли наук;Математические и естественные науки;Инженерное дело, технологии и технические науки;Здравоохранение и медицинские науки;Сельское хозяйство и сельскохозяйственные науки;Науки об обществе;Образование и педагогические науки;Гуманитарные науки;Искусство и культура
САФУ им. М.В. Ломоносова;2014;7894.0;533.0;2850.1;13.0;556.8;2259.8;1005.3;618.5;57.5
Северный государственный медицинский университет;2014;2700.7;0.0;13.0;2457.6;0.0;212.6;0.0;17.5;0.0
Мурманский государственный технический университет;2014;3339.4;252.7;2058.3;0.0;0.0;1020.1;0.0;8.3;0.0
Мурманский арктический государственный университет;2014;2046.2;289.0;0.0;0.0;0.0;580.0;940.5;162.3;74.4
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2014;1437.9;0.0;758.4;0.0;0.0;285.9;393.6;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2014;929.5;0.0;641.6;0.0;0.0;287.9;0.0;0.0;0.0
Другие организации;2014;5685.3;147.0;1327.5;23.4;1.9;4099.4;36.4;46.9;2.8
САФУ им. М.В. Ломоносова;2015;6946.7;474.0;2429.5;11.0;357.8;2010.9;1019.7;575.5;68.3
Северный государственный медицинский университет;2015;2797.1;0.0;2.5;2604.2;0.0;179.5;0.0;10.9;0.0
Мурманский государственный технический университет;2015;3020.5;269.3;1926.9;0.0;0.0;823.0;0.0;1.3;0.0
Мурманский арктический государственный университет;2015;1733.4;217.0;0.0;0.0;0.0;466.4;848.2;172.0;29.8
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2015;1376.9;0.0;828.6;0.0;0.0;221.4;326.9;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2015;833.6;0.0;550.9;0.0;0.0;282.7;0.0;0.0;0.0
Другие организации;2015;3414.9;120.0;1074.9;4.4;0.0;2194.5;16.1;2.9;2.1
САФУ им. М.В. Ломоносова;2016;7233.7;510.0;2633.2;24.0;371.5;1858.6;1132.3;653.5;50.6
Северный государственный медицинский университет;2016;2887.5;0.0;0.9;2709.3;0.0;167.8;0.0;9.5;0.0
Мурманский государственный технический университет;2016;2000.9;205.1;1770.2;0.0;0.0;25.0;0.0;0.6;0.0
Мурманский арктический государственный университет;2016;2544.2;259.0;304.4;0.0;0.0;822.3;953.6;174.0;30.9
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2016;1291.4;0.0;814.8;0.0;0.0;160.0;316.6;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2016;796.9;0.0;563.5;0.0;0.0;233.4;0.0;0.0;0.0
Другие организации;2016;1932.5;111.0;812.5;0.0;1.0;996.9;11.1;0.0;0.0
САФУ им. М.В. Ломоносова;2017;7487.8;518.0;2776.1;39.0;334.3;1864.9;1248.1;669.9;37.5
Северный государственный медицинский университет;2017;3113.5;0.0;1.0;2964.0;0.0;137.0;0.0;11.5;0.0
Мурманский государственный технический университет;2017;1958.1;172.0;1727.6;0.0;52.0;6.5;0.0;0.0;0.0
Мурманский арктический государственный университет;2017;2014.0;223.0;0.0;0.0;0.0;615.3;943.8;202.0;29.9
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2017;1315.8;0.0;893.6;0.0;0.0;142.3;279.9;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2017;784.6;0.0;592.9;0.0;0.0;191.7;0.0;0.0;0.0
Другие организации;2017;1995.4;104.0;810.5;0.0;0.0;1059.9;21.0;0.0;0.0
САФУ им. М.В. Ломоносова;2018;7361.1;507.0;2835.5;50.0;310.9;1694.0;1326.7;621.7;15.3
Северный государственный медицинский университет;2018;3299.3;0.0;1.1;3173.5;0.0;112.5;0.0;12.2;0.0
Мурманский государственный технический университет;2018;1810.3;146.5;1600.5;0.0;61.0;2.3;0.0;0.0;0.0
Мурманский арктический государственный университет;2018;1867.7;164.0;0.0;0.0;0.0;555.2;906.5;210.0;32.0
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2018;1316.1;0.0;915.8;0.0;0.0;118.2;282.1;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2018;694.2;0.0;536.9;0.0;0.0;157.3;0.0;0.0;0.0
Другие организации;2018;1701.9;116.0;774.4;0.0;0.0;802.1;9.4;0.0;0.0
САФУ им. М.В. Ломоносова;2019;7331.5;558.0;2962.5;39.0;293.0;1468.3;1440.0;569.7;1.0
Северный государственный медицинский университет;2019;3510.5;0.0;0.0;3410.9;0.0;89.2;0.0;10.4;0.0
Мурманский государственный технический университет;2019;1569.5;158.3;1337.2;0.0;74.0;0.0;0.0;0.0;0.0
Мурманский арктический государственный университет;2019;1744.7;175.0;21.0;26.0;0.0;524.6;789.6;168.0;40.5
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2019;1324.0;0.0;959.8;0.0;0.0;89.7;274.5;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2019;749.3;0.0;596.5;0.0;0.0;152.8;0.0;0.0;0.0
Другие организации;2019;1495.1;97.0;749.4;0.0;0.0;648.7;0.0;0.0;0.0
САФУ им. М.В. Ломоносова;2020;7167.4;523.0;2896.3;36.0;289.7;1346.4;1441.4;606.6;28.0
Северный государственный медицинский университет;2020;3642.5;0.0;0.0;3538.0;0.0;92.3;0.0;12.2;0.0
Мурманский государственный технический университет;2020;1600.8;165.8;1361.0;0.0;74.0;0.0;0.0;0.0;0.0
Мурманский арктический государственный университет;2020;1703.0;168.0;40.0;43.0;0.0;496.4;753.4;157.4;44.8
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2020;1329.8;0.0;976.4;0.0;0.0;83.1;270.3;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2020;783.3;0.0;650.2;0.0;0.0;133.1;0.0;0.0;0.0
Другие организации;2020;1351.8;77.0;720.6;0.0;0.0;554.2;0.0;0.0;0.0
САФУ им. М.В. Ломоносова;2021;7316.8;529.0;2933.2;35.0;280.6;1337.1;1524.6;630.3;47.0
Северный государственный медицинский университет;2021;3826.0;0.0;0.0;3706.0;0.0;109.4;0.0;10.6;0.0
Мурманский государственный технический университет;2021;1678.8;133.7;1465.1;0.0;80.0;0.0;0.0;0.0;0.0
Мурманский арктический государственный университет;2021;1570.0;136.0;89.0;61.0;0.0;413.8;741.2;96.2;32.8
Филиал САФУ им. М.В. Ломоносова в г. Северодвинске;2021;1283.4;0.0;884.1;0.0;0.0;80.7;318.6;0.0;0.0
Заполярный государственный университет им. Н.М. Федоровского;2021;792.3;0.0;670.5;0.0;0.0;121.8;0.0;0.0;0.0
Другие организации;2021;1245.1;91.0;653.3;0.0;0.0;500.8;0.0;0.0;0.0
