ОКТМО;plotn;name
87710000;84.570781044688;Название МО
87715000;75.5899318300996;Название МО
87723000;73.0633997479047;Название МО
87652000;42.8391326273323;Название МО
47701000;100;Название МО
47703000;67.5843330257357;Название МО
47705000;79.2003484320557;Название МО
47712000;72.3300970873786;Название МО
47715000;75.7765045448671;Название МО
47717000;61.4766874491732;Название МО
47719000;67.5214666976097;Название МО
47605000;22.9021313198891;Название МО
47608000;74.1748864014186;Название МО
47610000;69.2727272727273;Название МО
47615000;51.6942369263607;Название МО
47620000;51.3115343154869;Название МО
47730000;63.9886642993718;Название МО
47731000;35.0403034613561;Название МО
47733000;50.1622060016221;Название МО
47735000;23.2182806008309;Название МО
47737000;52.6266395037425;Название МО
71951000;56.7778303536528;Название МО
71952000;48.8363502031769;Название МО
71953000;48.9886624731628;Название МО
71955000;49.1551271884341;Название МО
71956000;53.6640253014979;Название МО
71958000;56.7829439274146;Название МО
71913000;27.00548081714;Название МО
71916000;46.4333680414082;Название МО
71918000;25.2754459601259;Название МО
71920000;28.868663105729;Название МО
71923000;26.4198874977318;Название МО
71926000;21.5832556211792;Название МО
71928000;17.9974419879408;Название МО
77701000;47.7137445887446;Название МО
77630000;37.9979217180464;Название МО
77620000;1.0971367407011;Название МО
77615000;26.0445138617727;Название МО
77603000;24.8634501593081;Название МО
77609000;32.2428115015974;Название МО
77633000;3.25942350332594;Название МО
4729000;46.7217792745704;Название МО
4653000;31.2333363290495;Название МО
4654000;25.2417967127514;Название МО
4650000;21.8476499189627;Название МО
98601000;21.3090909090909;Название МО
98606000;48.6278814489572;Название МО
98610000;13.935636256274;Название МО
98612000;26.7729652546406;Название МО
98615000;16.9115931887101;Название МО
98616000;27.2293546148508;Название МО
98622000;27.4846914743288;Название МО
98633000;9.74395448079659;Название МО
98637000;24.017171260732;Название МО
98642000;18.9815981850265;Название МО
98646000;27.8111244497799;Название МО
98656000;25.6764218663722;Название МО
98659000;17.6554681915654;Название МО
86706000;75.106148239778;Название МО
86604000;74.7233648108453;Название МО
86609000;61.5701911178331;Название МО
86612000;80.155231294629;Название МО
86621000;64.4678626015606;Название МО
86645000;75.4470783946767;Название МО
11638000;48.682870033474;Название МО
11642000;48.3547774731069;Название МО
11646000;60.0148735746158;Название МО
11648000;45.7708307071726;Название МО
11652000;18.9311035758323;Название МО
11701000;99.9592240276606;Название МО
11712000;2.46392115452306;Название МО
11715000;73.6219468665545;Название МО
11730000;83.7518755640041;Название МО
11851000;78.3950875140983;Название МО
11811000;8.41309046001852;Название МО
