Название;Тип;Страна;Население, 2002 г.;Население, 2010 г.;Население, 2021 г.;Широта;Долгота
Архангельск;город;Россия;356051;348783;301199;64.5401;40.5433
Мурманск;город;Россия;336137;307257;270384;68.97917;33.09251
Норильск;город;Россия;134832;175365;174453;69.3535;88.2027
Северодвинск;город;Россия;201551;192353;157213;64.5635;39.8302
Новый Уренгой;город;Россия;94456;104107;107251;66.08333;76.63333
Ноябрьск;город;Россия;96440;110620;100188;63.19309;75.43728
Воркута;город;Россия;84917;70548;56985;67.49884;64.05253
Апатиты;город;Россия;64405;59672;49647;67.56414;33.4031
Салехард;город;Россия;36827;42544;47910;66.53;66.60194
Надым;город;Россия;45943;46611;45973;65.53333;72.51667
Североморск;город;Россия;55102;50060;43327;69.06889;33.41622
Мончегорск;город;Россия;52242;45361;39962;67.93972;32.87389
Новодвинск;город;Россия;43383;40615;33294;64.4165;40.8122
Губкинский;город;Россия;20407;23335;33273;64.434;76.50261
Усинск;город;Россия;45358;40827;32182;65.99389;57.52806
Муравленко;город;Россия;35926;33391;29233;63.78977;74.52301
Кандалакша;город;Россия;40564;35654;29138;67.15123;32.41284
Костомукша;город;Россия;29746;28436;26048;64.571;30.57667
Лабытнанги;город;Россия;27304;26936;25501;66.65722;66.41833
Кировск;город;Россия;31593;28625;24857;67.61475;33.67274
Сегежа;город;Россия;34214;29631;23543;63.74147;34.32218
Нарьян-Мар;город;Россия;18611;21658;23399;67.63869;53.00371
Оленегорск;город;Россия;25166;23072;21438;68.1432;33.25287
Инта;город;Россия;41217;32080;20271;66.03169;60.16594
Тарко-Сале;город;Россия;18517;20398;19900;64.91611;77.77457
Дудинка;город;Россия;25132;22175;19556;69.40583;86.17778
Онега;город;Россия;23430;21359;16947;63.919;38.08355
Ковдор;город;Россия;20867;18820;15770;67.56616;30.47576
Заполярный;город;Россия;18640;15825;14791;69.41541;30.81355
Полярные Зори;город;Россия;15910;15096;14146;67.36611;32.49806
Анадырь;город;Россия;11038;13045;13202;64.73424;177.5103
Полярный;город;Россия;18552;17293;12293;69.19889;33.44778
Пангоды;пгт;Россия;10868;10805;11132;65.85002;74.48593
Кемь;город;Россия;14620;13051;10018;64.95546;34.57929
Анкоридж;город;США;260299;292252;288121;61.216667;-149.893611
Фэрбанкс;город;США;30241;31551;32702;64.843611;-147.723056
Джуно;город;США;30704;31276;31973;58.3;-134.416
Кник-Фэйрвью;статистически обособленная местность;США;7049;14923;19800;61.5275;-149.598056
Баджер;статистически обособленная местность;США;14248;19482;19000;64.805278;-147.410278
Колледж;статистически обособленная местность;США;11402;12964;11100;64.855556;-147.803889
Уайтхорс;город;Канада;16843;20296;24513;60.724167;-135.056111
Йеллоунайф;город;Канада;16055;18676;19673;62.453611;-114.37
Нуук;город;Гренландия (Дания);13445;15469;19261;64.181389;-51.694167
Торсхавн;город;Фарерский острова (Дания);12592;12615;13852;62.011667;-6.7675
Рейкьявик;городское поселение;Исландия;109268;117465;134602;64.146667;-21.94
Коупавогюр;городское поселение;Исландия;22693;30327;38936;64.110833;-21.909444
Хабнарфьордюр;городское поселение;Исландия;19158;25909;29763;64.02;-21.97
Рейкьянесбайр;городское поселение;Исландия;10512;13972;20298;64.016667;-22.566667
Акюрейри;городское поселение;Исландия;15143;17253;19396;65.683333;-18.1
Гардабайр;городское поселение;Исландия;7939;10618;15852;64.083333;-22
Мосфедльсбайр;городское поселение;Исландия;5648;8202;12642;64.17;-21.72
Умео;Населенный пункт;Швеция;71178;79594;91916;63.825;20.263889
Лулео;Населенный пункт;Швеция;45036;46607;49123;65.584444;22.153889
Шеллефтео;Населенный пункт;Швеция;31742;34555;36388;64.75;20.95
Питео;Населенный пункт;Швеция;22152;22913;23934;65.333333;21.5
Буден;Населенный пункт;Швеция;19091;18277;18671;65.825556;21.690556
Кируна;Населенный пункт;Швеция;19148;18148;17513;67.848889;20.302778
Елливаре;Населенный пункт;Швеция;8454;8449;10929;67.13;20.66
Тромсё;Населенный пункт;Норвегия;59145;60759;68410;69.682778;18.942778
Будё;Населенный пункт;Норвегия;32343;38973;42662;67.2827;14.3751
Харстад;Населенный пункт;Норвегия;19192;20429;21132;68.8011;16.5441
Му-и-Рана;Населенный пункт;Норвегия;17768;18358;18864;66.3128;14.1428
Алта;Населенный пункт;Норвегия;11496;14694;16222;69.9689;23.2716
Нарвик;Населенный пункт;Норвегия;14142;14094;14035;68.4363;17.3983
Оулу;Населенный пункт;Финляндия;;185440;207690;65.014167;25.471944
Рованиеми;Населенный пункт;Финляндия;;50552;54062;66.5;25.733333
Каяани;Населенный пункт;Финляндия;;30443;29551;64.225;27.733333
Кеми;Населенный пункт;Финляндия;;28050;25772;65.736111;24.563611
Раахе;Населенный пункт;Финляндия;;19027;18645;64.683333;24.466667
Торнио;Населенный пункт;Финляндия;;17157;16596;65.85;24.15
Юливиеска;Населенный пункт;Финляндия;;11466;12507;64.075;24.533333
